Date,Ticker,Categoria,Cat_Sweet_Spot,Cat_Cazador_Dips,Cat_Recup_Rapida,Cat_Cuchillos_Cayendo,RSI_14,RSI_7,BB_PctB,BB_Bandwidth,Donchian_Pos,CMF_20,RS_vs_SPY,Dist_SMA200_%,Drawdown_52W_%,Return_5D_%,Target
2025-12-31,SPY,Recup. Rapida,0,0,1,0,46.28129130021245,53.64375103294944,0.46481060152860953,0.03109655510468906,0.5659060208691578,0.01701142248816632,0.0,9.366347648613514,-1.4082018825461025,-0.8779558744136717,0
2026-01-02,SPY,Recup. Rapida,0,0,1,0,45.89796577904165,44.56087282122907,0.5206504710172232,0.031080299454295832,0.6216143918667549,-0.00846823597753029,0.0,9.453887693640986,-1.2274837966826757,-1.0443595739656364,0
2026-01-05,SPY,Recup. Rapida,0,0,1,0,58.74760525342257,49.28064546363872,0.7177811802171647,0.03173855393469042,0.824402597794585,-0.034180163353993195,0.0,10.070739089687663,-0.5696383821661299,-0.37519159570825744,0
2026-01-06,SPY,Recup. Rapida,0,0,1,0,63.45962302936521,53.89641418922574,0.864315774278612,0.0337539085862303,0.9779192600239052,0.021081811871303664,0.0,10.607725656258303,-0.07366676684618856,0.5757098917410719,0
2026-01-07,SPY,Recup. Rapida,0,0,1,0,62.973150524591134,48.220391806045605,0.7443202956991155,0.034571144353544976,0.8229406905462744,-0.015015484552415035,0.0,10.13632123257337,-0.6311609810550574,0.37409111979043175,0
2026-01-08,SPY,Recup. Rapida,0,0,1,0,74.1396216060709,54.580641016845306,0.7199249488061898,0.03509844515661993,0.8201105256746766,0.021626132541143827,0.0,10.01936945802637,-0.6412496324031075,1.11303199518209,0
2026-01-09,SPY,Recup. Rapida,0,0,1,0,73.82827166100876,66.16310867778536,0.8682282383722467,0.03734606405196946,0.9524679752006318,0.01750757590342844,0.0,10.637889788892666,-0.1783363159927107,1.5955073375985007,0
2026-01-12,SPY,Recup. Rapida,0,0,1,0,70.18559169598535,87.10760253864395,0.8717390279737574,0.039677130258715915,0.9653837184669023,-0.00915280084316504,0.0,10.695639396072965,-0.13361112428789199,1.0818303500290227,0
2026-01-13,SPY,Recup. Rapida,0,0,1,0,63.447689980093635,79.47731747876153,0.7886330666499588,0.04048534422137879,0.9136492471451165,0.026278346538867268,0.0,10.358683120707365,-0.33329464447913304,0.28331579258265016,0
2026-01-14,SPY,Recup. Rapida,0,0,1,0,53.57988148599114,57.83827877654942,0.6477052241206478,0.03966938812333348,0.7867281663298494,0.09076325121147297,0.0,9.694536339850766,-0.8231817073241523,0.11310374160631298,0
2026-01-15,SPY,Recup. Rapida,0,0,1,0,52.81987143707852,51.469601148212256,0.6960993978274517,0.03809573349970855,0.8567031895629539,0.04319126441101644,0.0,9.87308501613469,-0.5530937252176046,0.39593443713006327,0
2026-01-16,SPY,Recup. Rapida,0,0,1,0,52.0154779501851,58.01212021001531,0.6682242176837194,0.029722577060381807,0.808871440265542,0.10329444066212282,0.0,9.663068349197378,-0.6364208040313512,-0.3472297735142793,0
2026-01-20,SPY,Recup. Rapida,0,0,1,0,38.6167392725313,27.8992788018289,-0.0734373910074626,0.02734463334512927,0.05657497931014335,0.07985388891463492,0.0,7.330333514680045,-2.6591453141502543,-2.5289130990863162,0
