cat,tp,sl,dias,n,wr,e,ea_lin,ea_comp,usd,freq
Sweet Spot,0.12,0.06,7,3,0.0,-6.18,-75.2,-54.0,-94.0,12.0
Sweet Spot,0.12,0.08,7,3,0.0,-8.18,-99.6,-64.6,-124.5,12.0
Sweet Spot,0.12,0.1,7,3,0.0,-10.18,-123.9,-72.9,-154.9,12.0
Sweet Spot,0.15,0.03,7,3,0.0,-3.18,-38.7,-32.5,-48.4,12.0
Sweet Spot,0.15,0.04,7,3,0.0,-4.18,-50.9,-40.5,-63.6,12.0
Sweet Spot,0.15,0.05,7,3,0.0,-5.18,-63.1,-47.7,-78.8,12.0
Sweet Spot,0.15,0.06,7,3,0.0,-6.18,-75.2,-54.0,-94.0,12.0
Sweet Spot,0.15,0.08,7,3,0.0,-8.18,-99.6,-64.6,-124.5,12.0
Sweet Spot,0.15,0.1,7,3,0.0,-10.18,-123.9,-72.9,-154.9,12.0
Sweet Spot,0.2,0.03,7,3,0.0,-3.18,-38.7,-32.5,-48.4,12.0
Sweet Spot,0.2,0.04,7,3,0.0,-4.18,-50.9,-40.5,-63.6,12.0
Sweet Spot,0.2,0.05,7,3,0.0,-5.18,-63.1,-47.7,-78.8,12.0
Sweet Spot,0.2,0.06,7,3,0.0,-6.18,-75.2,-54.0,-94.0,12.0
Sweet Spot,0.2,0.08,7,3,0.0,-8.18,-99.6,-64.6,-124.5,12.0
Sweet Spot,0.2,0.1,7,3,0.0,-10.18,-123.9,-72.9,-154.9,12.0
Sweet Spot,0.05,0.03,11,18,61.1,1.69,123.2,239.2,154.0,73.0
Sweet Spot,0.05,0.04,11,18,61.1,1.3,94.8,156.4,118.5,73.0
Sweet Spot,0.05,0.05,11,18,61.1,0.91,66.4,93.7,83.0,73.0
Sweet Spot,0.05,0.06,11,18,61.1,0.52,38.0,46.1,47.5,73.0
Sweet Spot,0.05,0.08,11,18,61.1,-0.26,-18.8,-17.1,-23.5,73.0
Sweet Spot,0.05,0.1,11,18,72.2,0.63,46.1,58.4,57.6,73.0
Sweet Spot,0.08,0.03,11,18,44.4,1.69,123.2,239.2,154.0,73.0
Sweet Spot,0.08,0.04,11,18,44.4,1.13,82.6,127.4,103.3,73.0
Sweet Spot,0.08,0.05,11,18,44.4,0.58,42.1,52.1,52.6,73.0
Sweet Spot,0.08,0.06,11,18,44.4,0.02,1.5,1.5,1.9,73.0
Sweet Spot,0.08,0.08,11,18,44.4,-1.09,-79.6,-55.1,-99.5,73.0
Sweet Spot,0.08,0.1,11,17,47.1,-1.73,-119.5,-70.0,-149.3,69.0
Sweet Spot,0.1,0.03,11,18,44.4,2.58,188.1,540.3,235.1,73.0
Sweet Spot,0.1,0.04,11,18,44.4,2.02,147.5,330.7,184.4,73.0
Sweet Spot,0.1,0.05,11,18,44.4,1.47,106.9,189.1,133.7,73.0
Sweet Spot,0.1,0.06,11,18,44.4,0.91,66.4,93.7,83.0,73.0
Sweet Spot,0.1,0.08,11,18,44.4,-0.2,-14.7,-13.7,-18.4,73.0
Sweet Spot,0.1,0.1,11,17,41.2,-1.97,-135.7,-74.6,-169.6,69.0
Sweet Spot,0.12,0.03,11,18,38.9,2.63,192.1,566.1,240.1,73.0
Sweet Spot,0.12,0.04,11,18,38.9,2.02,147.5,330.7,184.4,73.0
Sweet Spot,0.12,0.05,11,18,38.9,1.41,102.9,177.8,128.6,73.0
Sweet Spot,0.12,0.06,11,18,38.9,0.8,58.3,78.7,72.9,73.0
Sweet Spot,0.12,0.08,11,18,38.9,-0.42,-30.9,-26.7,-38.7,73.0
Sweet Spot,0.12,0.1,11,17,35.3,-2.44,-168.1,-81.8,-210.2,69.0
Sweet Spot,0.15,0.03,11,18,27.8,1.8,131.3,267.4,164.1,73.0
Sweet Spot,0.15,0.04,11,18,27.8,1.08,78.6,118.5,98.2,73.0
Sweet Spot,0.15,0.05,11,18,27.8,0.35,25.8,29.4,32.3,73.0
Sweet Spot,0.15,0.06,11,18,27.8,-0.37,-26.9,-23.6,-33.6,73.0
Sweet Spot,0.15,0.08,11,18,27.8,-1.81,-132.3,-73.7,-165.4,73.0
Sweet Spot,0.15,0.1,11,17,29.4,-2.85,-196.5,-86.4,-245.7,69.0
Sweet Spot,0.2,0.03,11,17,17.6,0.86,59.3,80.6,74.2,69.0
Sweet Spot,0.2,0.04,11,17,17.6,0.04,2.6,2.6,3.2,69.0
Sweet Spot,0.2,0.05,11,17,17.6,-0.79,-54.2,-42.0,-67.8,69.0
Sweet Spot,0.2,0.06,11,17,17.6,-1.61,-111.0,-67.3,-138.7,69.0
Sweet Spot,0.2,0.08,11,17,17.6,-3.26,-224.5,-89.8,-280.7,69.0
Sweet Spot,0.2,0.1,11,16,18.8,-4.57,-296.8,-95.2,-371.1,65.0
Sweet Spot,0.05,0.03,15,20,65.0,2.05,166.2,418.3,207.8,81.0
Sweet Spot,0.05,0.04,15,20,65.0,1.7,137.8,292.3,172.3,81.0
Sweet Spot,0.05,0.05,15,20,65.0,1.35,109.4,196.6,136.8,81.0
Sweet Spot,0.05,0.06,15,20,65.0,1.0,81.1,124.0,101.3,81.0
Sweet Spot,0.05,0.08,15,20,65.0,0.3,24.3,27.4,30.3,81.0
Sweet Spot,0.05,0.1,15,20,80.0,1.85,150.0,342.1,187.5,81.0
Sweet Spot,0.08,0.03,15,20,40.0,1.25,101.3,173.8,126.7,81.0
Sweet Spot,0.08,0.04,15,20,40.0,0.65,52.7,69.0,65.8,81.0
Sweet Spot,0.08,0.05,15,20,40.0,0.05,4.0,4.1,5.0,81.0
Sweet Spot,0.08,0.06,15,20,40.0,-0.55,-44.7,-36.1,-55.8,81.0
Sweet Spot,0.08,0.08,15,20,40.0,-1.75,-142.0,-76.1,-177.5,81.0
Sweet Spot,0.08,0.1,15,19,47.4,-1.62,-125.1,-71.7,-156.4,77.0
Sweet Spot,0.1,0.03,15,20,35.0,1.4,113.5,208.7,141.9,81.0
Sweet Spot,0.1,0.04,15,20,35.0,0.75,60.8,83.2,76.0,81.0
Sweet Spot,0.1,0.05,15,20,35.0,0.1,8.1,8.4,10.1,81.0
Sweet Spot,0.1,0.06,15,20,35.0,-0.55,-44.7,-36.1,-55.8,81.0
Sweet Spot,0.1,0.08,15,20,35.0,-1.85,-150.1,-78.0,-187.6,81.0
Sweet Spot,0.1,0.1,15,19,36.8,-2.78,-214.3,-88.6,-267.9,77.0
Sweet Spot,0.12,0.03,15,20,30.0,1.35,109.4,196.6,136.8,81.0
Sweet Spot,0.12,0.04,15,20,30.0,0.65,52.7,69.0,65.8,81.0
Sweet Spot,0.12,0.05,15,19,26.3,-0.68,-52.5,-40.9,-65.6,77.0
Sweet Spot,0.12,0.06,15,19,26.3,-1.42,-109.3,-66.7,-136.6,77.0
Sweet Spot,0.12,0.08,15,19,26.3,-2.89,-222.8,-89.6,-278.5,77.0
Sweet Spot,0.12,0.1,15,18,27.8,-4.04,-295.1,-95.1,-368.9,73.0
Sweet Spot,0.15,0.03,15,19,15.8,-0.31,-24.2,-21.5,-30.2,77.0
Sweet Spot,0.15,0.04,15,19,15.8,-1.16,-89.1,-59.2,-111.3,77.0
Sweet Spot,0.15,0.05,15,18,16.7,-1.83,-133.4,-74.0,-166.8,73.0
Sweet Spot,0.15,0.06,15,18,16.7,-2.66,-194.2,-86.0,-242.8,73.0
Sweet Spot,0.15,0.08,15,18,16.7,-4.33,-315.9,-96.0,-394.9,73.0
Sweet Spot,0.15,0.1,15,17,23.5,-4.28,-294.9,-95.1,-368.7,69.0
Sweet Spot,0.2,0.03,15,18,11.1,-0.59,-43.4,-35.3,-54.2,73.0
Sweet Spot,0.2,0.04,15,18,11.1,-1.48,-108.3,-66.4,-135.4,73.0
Sweet Spot,0.2,0.05,15,17,11.8,-2.21,-152.6,-78.6,-190.8,69.0
Sweet Spot,0.2,0.06,15,17,11.8,-3.1,-213.5,-88.6,-266.8,69.0
Sweet Spot,0.2,0.08,15,17,11.8,-4.86,-335.1,-96.8,-418.9,69.0
Sweet Spot,0.2,0.1,15,16,18.8,-4.53,-293.9,-95.1,-367.3,65.0
Sweet Spot,0.05,0.03,21,16,68.8,2.37,153.6,356.3,192.0,65.0
Sweet Spot,0.05,0.04,21,16,68.8,2.05,133.3,274.2,166.6,65.0
Sweet Spot,0.05,0.05,21,16,68.8,1.74,113.0,206.7,141.3,65.0
Sweet Spot,0.05,0.06,21,16,68.8,1.43,92.8,151.2,115.9,65.0
Sweet Spot,0.05,0.08,21,16,68.8,0.8,52.2,68.2,65.2,65.0
Sweet Spot,0.05,0.1,21,16,75.0,1.12,72.5,105.6,90.6,65.0
Sweet Spot,0.08,0.03,21,16,43.8,1.68,109.0,194.7,136.2,65.0
Sweet Spot,0.08,0.04,21,16,43.8,1.12,72.5,105.6,90.6,65.0
Sweet Spot,0.08,0.05,21,16,43.8,0.55,36.0,43.2,45.0,65.0
Sweet Spot,0.08,0.06,21,16,43.8,-0.01,-0.5,-0.5,-0.7,65.0
Sweet Spot,0.08,0.08,21,16,43.8,-1.13,-73.5,-52.3,-91.9,65.0
Sweet Spot,0.08,0.1,21,16,43.8,-2.26,-146.5,-77.3,-183.2,65.0
Sweet Spot,0.1,0.03,21,16,31.2,0.93,60.3,82.3,75.4,65.0
Sweet Spot,0.1,0.04,21,16,31.2,0.24,15.7,17.0,19.6,65.0
Sweet Spot,0.1,0.05,21,16,31.2,-0.45,-28.9,-25.2,-36.1,65.0
Sweet Spot,0.1,0.06,21,16,31.2,-1.13,-73.5,-52.3,-91.9,65.0
Sweet Spot,0.1,0.08,21,16,31.2,-2.51,-162.7,-80.8,-203.4,65.0
Sweet Spot,0.1,0.1,21,16,31.2,-3.88,-252.0,-92.3,-315.0,65.0
Sweet Spot,0.12,0.03,21,16,25.0,0.62,40.0,49.0,50.0,65.0
Sweet Spot,0.12,0.04,21,16,25.0,-0.13,-8.6,-8.3,-10.8,65.0
Sweet Spot,0.12,0.05,21,16,25.0,-0.88,-57.3,-43.8,-71.6,65.0
Sweet Spot,0.12,0.06,21,16,25.0,-1.63,-106.0,-65.6,-132.5,65.0
Sweet Spot,0.12,0.08,21,16,25.0,-3.13,-203.3,-87.3,-254.1,65.0
Sweet Spot,0.12,0.1,21,16,25.0,-4.63,-300.6,-95.4,-375.8,65.0
Sweet Spot,0.15,0.03,21,16,6.2,-2.01,-130.3,-73.2,-162.9,65.0
Sweet Spot,0.15,0.04,21,15,6.7,-2.87,-174.6,-83.0,-218.3,61.0
Sweet Spot,0.15,0.05,21,15,6.7,-3.8,-231.4,-90.6,-289.3,61.0
Sweet Spot,0.15,0.06,21,15,6.7,-4.74,-288.2,-94.8,-360.2,61.0
Sweet Spot,0.15,0.08,21,14,7.1,-6.5,-369.1,-97.8,-461.4,57.0
Sweet Spot,0.15,0.1,21,14,7.1,-8.36,-474.5,-99.3,-593.2,57.0
Sweet Spot,0.2,0.03,21,16,0.0,-3.13,-203.3,-87.3,-254.1,65.0
Sweet Spot,0.2,0.04,21,15,0.0,-4.14,-251.7,-92.3,-314.6,61.0
Sweet Spot,0.2,0.05,21,15,0.0,-5.14,-312.5,-96.0,-390.7,61.0
Sweet Spot,0.2,0.06,21,15,0.0,-6.14,-373.4,-97.9,-466.7,61.0
Sweet Spot,0.2,0.08,21,14,0.0,-8.14,-462.4,-99.2,-578.0,57.0
Sweet Spot,0.2,0.1,21,14,0.0,-10.14,-575.9,-99.8,-719.9,57.0
Sweet Spot,0.05,0.03,30,21,71.4,2.6,221.5,790.7,276.9,85.0
Sweet Spot,0.05,0.04,30,21,71.4,2.32,197.2,602.4,246.5,85.0
Sweet Spot,0.05,0.05,30,21,71.4,2.03,172.9,453.6,216.1,85.0
Sweet Spot,0.05,0.06,30,21,71.4,1.74,148.5,336.0,185.6,85.0
Sweet Spot,0.05,0.08,30,21,76.2,1.79,152.6,353.7,190.7,85.0
Sweet Spot,0.05,0.1,30,21,85.7,2.74,233.7,902.8,292.1,85.0
Sweet Spot,0.08,0.03,30,21,42.9,1.6,136.4,286.8,170.4,85.0
Sweet Spot,0.08,0.04,30,21,42.9,1.03,87.7,139.3,109.6,85.0
Sweet Spot,0.08,0.05,30,21,42.9,0.46,39.0,47.6,48.8,85.0
Sweet Spot,0.08,0.06,30,21,42.9,-0.11,-9.6,-9.2,-12.1,85.0
Sweet Spot,0.08,0.08,30,21,47.6,-0.49,-42.1,-34.4,-52.6,85.0
Sweet Spot,0.08,0.1,30,19,47.4,-1.57,-121.3,-70.6,-151.6,77.0
Sweet Spot,0.1,0.03,30,21,33.3,1.22,103.9,180.9,129.9,85.0
Sweet Spot,0.1,0.04,30,21,33.3,0.55,47.1,60.0,58.9,85.0
Sweet Spot,0.1,0.05,30,21,33.3,-0.11,-9.6,-9.2,-12.1,85.0
Sweet Spot,0.1,0.06,30,21,33.3,-0.78,-66.4,-48.7,-83.0,85.0
Sweet Spot,0.1,0.08,30,21,33.3,-2.11,-180.0,-83.8,-225.0,85.0
Sweet Spot,0.1,0.1,30,19,26.3,-4.84,-372.7,-97.8,-465.9,77.0
Sweet Spot,0.12,0.03,30,21,33.3,1.89,160.7,391.3,200.9,85.0
Sweet Spot,0.12,0.04,30,21,33.3,1.22,103.9,180.9,129.9,85.0
Sweet Spot,0.12,0.05,30,20,30.0,-0.02,-1.3,-1.2,-1.6,81.0
Sweet Spot,0.12,0.06,30,20,30.0,-0.72,-58.0,-44.1,-72.5,81.0
Sweet Spot,0.12,0.08,30,20,30.0,-2.12,-171.6,-82.3,-214.5,81.0
Sweet Spot,0.12,0.1,30,18,22.2,-5.21,-380.6,-98.0,-475.7,73.0
Sweet Spot,0.15,0.03,30,20,15.0,-0.42,-33.8,-28.7,-42.2,81.0
Sweet Spot,0.15,0.04,30,20,15.0,-1.27,-102.7,-64.4,-128.4,81.0
Sweet Spot,0.15,0.05,30,19,15.8,-1.96,-151.1,-78.3,-188.9,77.0
Sweet Spot,0.15,0.06,30,19,15.8,-2.8,-216.0,-88.8,-270.0,77.0
Sweet Spot,0.15,0.08,30,18,16.7,-4.29,-313.1,-95.9,-391.4,73.0
Sweet Spot,0.15,0.1,30,16,12.5,-6.98,-453.2,-99.1,-566.4,65.0
Sweet Spot,0.2,0.03,30,20,10.0,-0.82,-66.2,-48.6,-82.8,81.0
Sweet Spot,0.2,0.04,30,20,10.0,-1.72,-139.2,-75.4,-174.0,81.0
Sweet Spot,0.2,0.05,30,19,10.5,-2.49,-191.7,-85.6,-239.6,77.0
Sweet Spot,0.2,0.06,30,19,10.5,-3.38,-260.6,-92.9,-325.8,77.0
Sweet Spot,0.2,0.08,30,18,11.1,-5.01,-365.9,-97.7,-457.3,73.0
Sweet Spot,0.2,0.1,30,16,6.2,-8.23,-534.3,-99.6,-667.8,65.0
Sweet Spot,0.05,0.03,45,29,58.6,1.53,180.1,497.6,225.2,118.0
Sweet Spot,0.05,0.04,45,29,62.1,1.43,168.0,430.0,210.0,118.0
Sweet Spot,0.05,0.05,45,29,62.1,1.05,123.4,241.1,154.2,118.0
Sweet Spot,0.05,0.06,45,28,64.3,0.92,104.3,182.4,130.4,114.0
Sweet Spot,0.05,0.08,45,28,71.4,1.13,128.6,259.3,160.8,114.0
Sweet Spot,0.05,0.1,45,28,82.1,2.17,246.2,1042.8,307.8,114.0
Sweet Spot,0.08,0.03,45,29,41.4,1.39,163.9,409.3,204.9,118.0
Sweet Spot,0.08,0.04,45,29,41.4,0.81,95.0,157.5,118.7,118.0
Sweet Spot,0.08,0.05,45,29,41.4,0.22,26.0,29.7,32.5,118.0
Sweet Spot,0.08,0.06,45,28,46.4,0.35,39.4,48.2,49.3,114.0
Sweet Spot,0.08,0.08,45,28,50.0,-0.15,-17.4,-16.0,-21.7,114.0
Sweet Spot,0.08,0.1,45,26,53.8,-0.45,-47.9,-38.1,-59.9,105.0
Sweet Spot,0.1,0.03,45,29,34.5,1.32,155.8,370.1,194.8,118.0
Sweet Spot,0.1,0.04,45,29,34.5,0.67,78.7,119.2,98.4,118.0
Sweet Spot,0.1,0.05,45,29,34.5,0.01,1.7,1.7,2.1,118.0
Sweet Spot,0.1,0.06,45,28,39.3,0.13,15.1,16.3,18.8,114.0
Sweet Spot,0.1,0.08,45,28,39.3,-1.08,-122.8,-70.9,-153.5,114.0
Sweet Spot,0.1,0.1,45,26,38.5,-2.45,-258.8,-92.7,-323.5,105.0
Sweet Spot,0.12,0.03,45,29,31.0,1.5,176.1,474.2,220.1,118.0
Sweet Spot,0.12,0.04,45,29,31.0,0.81,95.0,157.5,118.7,118.0
Sweet Spot,0.12,0.05,45,29,31.0,0.12,13.9,14.9,17.3,118.0
Sweet Spot,0.12,0.06,45,28,35.7,0.28,31.3,36.7,39.1,114.0
Sweet Spot,0.12,0.08,45,28,35.7,-1.01,-114.7,-68.4,-143.4,114.0
Sweet Spot,0.12,0.1,45,26,34.6,-2.53,-266.9,-93.3,-333.6,105.0
Sweet Spot,0.15,0.03,45,29,20.7,0.57,66.6,94.2,83.2,118.0
Sweet Spot,0.15,0.04,45,28,21.4,-0.09,-10.2,-9.7,-12.7,114.0
Sweet Spot,0.15,0.05,45,28,21.4,-0.88,-99.4,-63.2,-124.3,114.0
Sweet Spot,0.15,0.06,45,27,25.9,-0.71,-77.9,-54.3,-97.4,110.0
Sweet Spot,0.15,0.08,45,26,26.9,-1.97,-207.5,-87.7,-259.4,105.0
Sweet Spot,0.15,0.1,45,24,29.2,-2.86,-278.6,-94.1,-348.2,97.0
Sweet Spot,0.2,0.03,45,29,13.8,0.01,1.7,1.7,2.1,118.0
Sweet Spot,0.2,0.04,45,28,14.3,-0.73,-83.2,-56.6,-104.0,114.0
Sweet Spot,0.2,0.05,45,27,14.8,-1.46,-159.9,-80.0,-199.9,110.0
Sweet Spot,0.2,0.06,45,26,19.2,-1.16,-122.2,-70.7,-152.8,105.0
Sweet Spot,0.2,0.08,45,25,20.0,-2.56,-259.9,-92.8,-324.9,101.0
Sweet Spot,0.2,0.1,45,23,21.7,-3.64,-339.1,-96.8,-423.9,93.0
Cazador Dips,0.05,0.03,5,5,40.0,-0.04,-0.8,-0.8,-1.0,20.0
Cazador Dips,0.05,0.04,5,5,60.0,2.2,44.7,55.6,55.8,20.0
Cazador Dips,0.05,0.05,5,6,66.7,3.26,79.4,118.3,99.2,24.0
Cazador Dips,0.05,0.06,5,6,66.7,3.26,79.4,118.3,99.2,24.0
Cazador Dips,0.05,0.08,5,6,66.7,3.26,79.4,118.3,99.2,24.0
Cazador Dips,0.05,0.1,5,6,66.7,3.26,79.4,118.3,99.2,24.0
Cazador Dips,0.08,0.03,5,5,20.0,-1.04,-21.1,-19.1,-26.3,20.0
Cazador Dips,0.08,0.04,5,5,40.0,1.6,32.5,38.1,40.6,20.0
Cazador Dips,0.08,0.05,5,6,33.3,0.93,22.6,25.2,28.2,24.0
Cazador Dips,0.08,0.06,5,6,33.3,0.59,14.5,15.5,18.1,24.0
Cazador Dips,0.08,0.08,5,5,20.0,-1.46,-29.5,-25.7,-36.9,20.0
Cazador Dips,0.08,0.1,5,5,40.0,1.74,35.4,42.0,44.2,20.0
Cazador Dips,0.1,0.03,5,5,20.0,-0.64,-12.9,-12.2,-16.2,20.0
Cazador Dips,0.1,0.04,5,5,40.0,2.4,48.7,61.9,60.9,20.0
Cazador Dips,0.1,0.05,5,6,33.3,1.59,38.8,47.0,48.5,24.0
Cazador Dips,0.1,0.06,5,6,33.3,1.26,30.7,35.7,38.4,24.0
Cazador Dips,0.1,0.08,5,5,20.0,-1.06,-21.4,-19.4,-26.8,20.0
Cazador Dips,0.1,0.1,5,5,40.0,2.54,51.6,66.4,64.5,20.0
Cazador Dips,0.12,0.03,5,5,20.0,-0.24,-4.8,-4.7,-6.0,20.0
Cazador Dips,0.12,0.04,5,5,40.0,3.2,65.0,89.5,81.2,20.0
Cazador Dips,0.12,0.05,5,6,33.3,2.26,55.0,72.3,68.8,24.0
Cazador Dips,0.12,0.06,5,6,33.3,1.93,46.9,59.2,58.6,24.0
Cazador Dips,0.12,0.08,5,5,20.0,-0.66,-13.3,-12.5,-16.6,20.0
Cazador Dips,0.12,0.1,5,5,40.0,3.34,67.8,94.8,84.8,20.0
Cazador Dips,0.15,0.03,5,5,0.0,-3.24,-65.7,-48.7,-82.1,20.0
Cazador Dips,0.15,0.04,5,5,20.0,0.6,12.2,13.0,15.3,20.0
Cazador Dips,0.15,0.05,5,6,16.7,-0.07,-1.8,-1.7,-2.2,24.0
Cazador Dips,0.15,0.06,5,6,16.7,-0.57,-13.9,-13.0,-17.4,24.0
Cazador Dips,0.15,0.08,5,5,0.0,-4.04,-81.9,-56.6,-102.3,20.0
Cazador Dips,0.15,0.1,5,5,20.0,0.56,11.4,12.0,14.3,20.0
Cazador Dips,0.2,0.03,5,5,0.0,-3.24,-65.7,-48.7,-82.1,20.0
Cazador Dips,0.2,0.04,5,5,20.0,1.6,32.5,38.1,40.6,20.0
Cazador Dips,0.2,0.05,5,6,0.0,-2.41,-58.7,-44.8,-73.3,24.0
Cazador Dips,0.2,0.06,5,6,0.0,-2.91,-70.8,-51.3,-88.6,24.0
Cazador Dips,0.2,0.08,5,5,0.0,-4.04,-81.9,-56.6,-102.3,20.0
Cazador Dips,0.2,0.1,5,5,0.0,-2.24,-45.5,-36.9,-56.9,20.0
Cazador Dips,0.05,0.03,7,23,39.1,-0.09,-8.7,-8.3,-10.9,93.0
Cazador Dips,0.05,0.04,7,22,36.4,-0.95,-84.5,-57.2,-105.7,89.0
Cazador Dips,0.05,0.05,7,22,36.4,-1.4,-124.9,-71.6,-156.1,89.0
Cazador Dips,0.05,0.06,7,20,45.0,-0.86,-69.4,-50.2,-86.7,81.0
Cazador Dips,0.05,0.08,7,18,44.4,-1.73,-126.2,-72.0,-157.8,73.0
Cazador Dips,0.05,0.1,7,17,41.2,-2.94,-202.6,-87.2,-253.3,69.0
Cazador Dips,0.08,0.03,7,23,26.1,-0.35,-33.0,-28.2,-41.3,93.0
Cazador Dips,0.08,0.04,7,22,22.7,-1.49,-133.2,-73.9,-166.5,89.0
Cazador Dips,0.08,0.05,7,21,23.8,-1.93,-164.2,-81.0,-205.3,85.0
Cazador Dips,0.08,0.06,7,19,36.8,-0.62,-47.9,-38.1,-59.8,77.0
