cat,tp,sl,dias,n,wr,e,ea_lin,ea_comp,usd,freq
Cazador Dips,0.08,0.08,7,17,35.3,-1.81,-125.0,-71.7,-156.2,69.0
Cazador Dips,0.08,0.1,7,16,37.5,-2.12,-137.6,-75.1,-172.0,65.0
Cazador Dips,0.1,0.03,7,22,27.3,0.33,29.0,33.6,36.3,89.0
Cazador Dips,0.1,0.04,7,22,22.7,-1.04,-92.6,-60.6,-115.8,89.0
Cazador Dips,0.1,0.05,7,21,23.8,-1.45,-123.7,-71.2,-154.6,85.0
Cazador Dips,0.1,0.06,7,19,36.8,0.12,8.9,9.3,11.1,77.0
Cazador Dips,0.1,0.08,7,17,35.3,-1.11,-76.3,-53.6,-95.4,69.0
Cazador Dips,0.1,0.1,7,16,37.5,-1.37,-88.9,-59.2,-111.2,65.0
Cazador Dips,0.12,0.03,7,22,22.7,0.19,16.9,18.3,21.1,89.0
Cazador Dips,0.12,0.04,7,22,18.2,-1.31,-117.0,-69.2,-146.2,89.0
Cazador Dips,0.12,0.05,7,21,19.0,-1.79,-152.0,-78.4,-190.1,85.0
Cazador Dips,0.12,0.06,7,19,31.6,0.17,13.1,14.0,16.4,77.0
Cazador Dips,0.12,0.08,7,17,29.4,-1.16,-80.2,-55.4,-100.3,69.0
Cazador Dips,0.12,0.1,7,16,31.2,-1.43,-92.9,-60.8,-116.1,65.0
Cazador Dips,0.15,0.03,7,22,18.2,0.05,4.7,4.8,5.9,89.0
Cazador Dips,0.15,0.04,7,22,13.6,-1.63,-145.4,-76.9,-181.7,89.0
Cazador Dips,0.15,0.05,7,21,14.3,-2.17,-184.5,-84.5,-230.6,85.0
Cazador Dips,0.15,0.06,7,18,16.7,-1.97,-143.9,-76.6,-179.8,73.0
Cazador Dips,0.15,0.08,7,16,12.5,-4.09,-265.6,-93.4,-332.0,65.0
Cazador Dips,0.15,0.1,7,15,13.3,-5.02,-305.5,-95.6,-381.9,61.0
Cazador Dips,0.2,0.03,7,21,9.5,-0.27,-23.0,-20.6,-28.8,85.0
Cazador Dips,0.2,0.04,7,21,9.5,-1.93,-164.4,-81.0,-205.5,85.0
Cazador Dips,0.2,0.05,7,20,10.0,-2.51,-203.5,-87.3,-254.4,81.0
Cazador Dips,0.2,0.06,7,18,11.1,-2.58,-188.5,-85.2,-235.6,73.0
Cazador Dips,0.2,0.08,7,16,6.2,-4.64,-301.4,-95.4,-376.7,65.0
Cazador Dips,0.2,0.1,7,15,0.0,-6.76,-411.2,-98.6,-514.0,61.0
Cazador Dips,0.05,0.03,11,62,43.5,0.24,59.8,81.8,74.8,251.0
Cazador Dips,0.05,0.04,11,55,47.3,0.01,2.8,2.9,3.6,223.0
Cazador Dips,0.05,0.05,11,55,49.1,-0.33,-74.2,-52.5,-92.8,223.0
Cazador Dips,0.05,0.06,11,52,53.8,-0.32,-68.0,-49.4,-85.0,211.0
Cazador Dips,0.05,0.08,11,50,58.0,-0.71,-144.5,-76.5,-180.6,203.0
Cazador Dips,0.05,0.1,11,46,60.9,-1.13,-210.0,-87.9,-262.5,187.0
Cazador Dips,0.08,0.03,11,61,32.8,0.36,89.4,144.2,111.8,247.0
Cazador Dips,0.08,0.04,11,54,38.9,0.43,93.3,153.7,116.6,219.0
Cazador Dips,0.08,0.05,11,52,42.3,0.26,55.2,73.5,68.9,211.0
Cazador Dips,0.08,0.06,11,49,49.0,0.61,122.2,238.1,152.7,199.0
Cazador Dips,0.08,0.08,11,46,52.2,0.1,18.5,20.3,23.1,187.0
Cazador Dips,0.08,0.1,11,42,57.1,0.03,5.7,5.9,7.1,170.0
Cazador Dips,0.1,0.03,11,57,28.1,0.41,94.3,156.3,117.9,231.0
Cazador Dips,0.1,0.04,11,51,33.3,0.43,88.8,142.6,111.0,207.0
Cazador Dips,0.1,0.05,11,49,36.7,0.28,54.8,72.8,68.4,199.0
Cazador Dips,0.1,0.06,11,46,43.5,0.72,134.0,279.9,167.5,187.0
Cazador Dips,0.1,0.08,11,43,44.2,-0.07,-12.3,-11.6,-15.4,174.0
Cazador Dips,0.1,0.1,11,38,47.4,-0.47,-72.6,-51.7,-90.7,154.0
Cazador Dips,0.12,0.03,11,53,18.9,-0.41,-88.3,-58.7,-110.4,215.0
Cazador Dips,0.12,0.04,11,49,22.4,-0.65,-128.7,-72.5,-160.9,199.0
Cazador Dips,0.12,0.05,11,47,23.4,-0.99,-188.0,-84.9,-235.0,191.0
Cazador Dips,0.12,0.06,11,44,29.5,-0.28,-50.6,-39.7,-63.2,178.0
Cazador Dips,0.12,0.08,11,40,27.5,-1.71,-276.7,-93.9,-345.9,162.0
Cazador Dips,0.12,0.1,11,35,31.4,-1.97,-280.2,-94.1,-350.3,142.0
Cazador Dips,0.15,0.03,11,52,17.3,-0.13,-26.8,-23.5,-33.5,211.0
Cazador Dips,0.15,0.04,11,48,20.8,-0.28,-55.0,-42.3,-68.7,195.0
Cazador Dips,0.15,0.05,11,46,21.7,-0.61,-114.3,-68.2,-142.9,187.0
Cazador Dips,0.15,0.06,11,42,23.8,-0.58,-98.2,-62.6,-122.7,170.0
Cazador Dips,0.15,0.08,11,36,19.4,-2.62,-382.8,-97.9,-478.5,146.0
Cazador Dips,0.15,0.1,11,30,23.3,-2.84,-345.3,-97.0,-431.7,122.0
Cazador Dips,0.2,0.03,11,51,9.8,-0.94,-194.4,-85.8,-243.0,207.0
Cazador Dips,0.2,0.04,11,47,12.8,-1.18,-225.1,-89.6,-281.3,191.0
Cazador Dips,0.2,0.05,11,44,13.6,-1.54,-275.0,-93.7,-343.8,178.0
Cazador Dips,0.2,0.06,11,39,15.4,-1.53,-241.5,-91.2,-301.9,158.0
Cazador Dips,0.2,0.08,11,35,14.3,-2.94,-417.8,-98.6,-522.3,142.0
Cazador Dips,0.2,0.1,11,30,13.3,-4.47,-543.8,-99.6,-679.7,122.0
Cazador Dips,0.05,0.03,15,82,42.7,0.18,58.7,79.7,73.3,333.0
Cazador Dips,0.05,0.04,15,77,46.8,-0.03,-8.8,-8.5,-11.1,312.0
Cazador Dips,0.05,0.05,15,74,52.7,0.04,10.6,11.1,13.2,300.0
Cazador Dips,0.05,0.06,15,70,60.0,0.36,103.0,179.6,128.8,284.0
Cazador Dips,0.05,0.08,15,64,64.1,0.08,21.7,24.2,27.1,260.0
Cazador Dips,0.05,0.1,15,61,70.5,0.33,81.1,124.7,101.4,247.0
Cazador Dips,0.08,0.03,15,80,31.2,0.2,64.8,91.0,81.0,324.0
Cazador Dips,0.08,0.04,15,74,36.5,0.14,42.1,52.3,52.6,300.0
Cazador Dips,0.08,0.05,15,69,40.6,0.04,11.2,11.9,14.0,280.0
Cazador Dips,0.08,0.06,15,65,49.2,0.65,172.3,456.7,215.3,264.0
Cazador Dips,0.08,0.08,15,60,53.3,0.29,70.4,102.0,88.0,243.0
Cazador Dips,0.08,0.1,15,57,61.4,0.81,186.6,541.2,233.2,231.0
Cazador Dips,0.1,0.03,15,77,26.0,0.14,43.1,53.9,53.9,312.0
Cazador Dips,0.1,0.04,15,71,29.6,-0.1,-28.2,-24.6,-35.3,288.0
Cazador Dips,0.1,0.05,15,66,33.3,-0.24,-63.2,-46.9,-79.0,268.0
Cazador Dips,0.1,0.06,15,62,41.9,0.47,118.2,225.1,147.7,251.0
Cazador Dips,0.1,0.08,15,56,46.4,0.12,26.6,30.4,33.2,227.0
Cazador Dips,0.1,0.1,15,50,54.0,0.65,131.3,270.3,164.2,203.0
Cazador Dips,0.12,0.03,15,73,20.5,-0.16,-46.1,-37.0,-57.7,296.0
Cazador Dips,0.12,0.04,15,67,23.9,-0.42,-113.4,-67.9,-141.8,272.0
Cazador Dips,0.12,0.05,15,62,27.4,-0.57,-144.3,-76.5,-180.4,251.0
Cazador Dips,0.12,0.06,15,56,32.1,-0.3,-67.0,-48.9,-83.8,227.0
Cazador Dips,0.12,0.08,15,51,31.4,-1.76,-363.6,-97.4,-454.5,207.0
Cazador Dips,0.12,0.1,15,45,37.8,-1.34,-244.6,-91.5,-305.8,182.0
Cazador Dips,0.15,0.03,15,72,18.1,0.01,3.3,3.3,4.1,292.0
Cazador Dips,0.15,0.04,15,66,19.7,-0.5,-133.0,-73.6,-166.2,268.0
Cazador Dips,0.15,0.05,15,61,24.6,-0.32,-78.7,-54.5,-98.4,247.0
Cazador Dips,0.15,0.06,15,54,27.8,-0.25,-53.8,-41.6,-67.2,219.0
Cazador Dips,0.15,0.08,15,49,26.5,-1.92,-381.9,-97.9,-477.4,199.0
Cazador Dips,0.15,0.1,15,41,31.7,-1.68,-278.6,-94.0,-348.2,166.0
Cazador Dips,0.2,0.03,15,69,14.5,0.1,27.0,31.0,33.8,280.0
Cazador Dips,0.2,0.04,15,64,15.6,-0.49,-126.7,-71.9,-158.3,260.0
Cazador Dips,0.2,0.05,15,58,20.7,-0.06,-14.4,-13.4,-18.0,235.0
Cazador Dips,0.2,0.06,15,50,24.0,0.18,36.0,43.3,45.0,203.0
Cazador Dips,0.2,0.08,15,46,21.7,-1.92,-358.8,-97.3,-448.5,187.0
Cazador Dips,0.2,0.1,15,38,23.7,-2.45,-377.1,-97.8,-471.4,154.0
Cazador Dips,0.05,0.03,21,131,37.4,-0.24,-128.1,-72.3,-160.1,531.0
Cazador Dips,0.05,0.04,21,118,39.8,-0.65,-310.0,-95.5,-387.5,479.0
Cazador Dips,0.05,0.05,21,108,40.7,-1.16,-509.6,-99.4,-637.0,438.0
Cazador Dips,0.05,0.06,21,96,49.0,-0.85,-332.5,-96.5,-415.6,389.0
Cazador Dips,0.05,0.08,21,89,58.4,-0.65,-234.2,-90.5,-292.7,361.0
Cazador Dips,0.05,0.1,21,82,63.4,-0.74,-246.0,-91.5,-307.5,333.0
Cazador Dips,0.08,0.03,21,130,27.7,-0.19,-98.9,-62.8,-123.6,527.0
Cazador Dips,0.08,0.04,21,117,31.6,-0.44,-207.7,-87.5,-259.7,474.0
Cazador Dips,0.08,0.05,21,104,28.8,-1.49,-626.7,-99.8,-783.4,422.0
Cazador Dips,0.08,0.06,21,94,38.3,-0.88,-334.0,-96.5,-417.5,381.0
Cazador Dips,0.08,0.08,21,87,46.0,-0.88,-311.7,-95.6,-389.7,353.0
Cazador Dips,0.08,0.1,21,78,53.8,-0.48,-150.3,-77.8,-187.9,316.0
Cazador Dips,0.1,0.03,21,127,24.4,-0.06,-30.3,-26.2,-37.9,515.0
Cazador Dips,0.1,0.04,21,113,27.4,-0.39,-178.5,-83.3,-223.2,458.0
Cazador Dips,0.1,0.05,21,101,25.7,-1.37,-562.3,-99.7,-702.8,410.0
Cazador Dips,0.1,0.06,21,91,35.2,-0.61,-224.9,-89.5,-281.1,369.0
Cazador Dips,0.1,0.08,21,83,41.0,-0.86,-290.6,-94.6,-363.3,337.0
Cazador Dips,0.1,0.1,21,73,50.7,-0.02,-6.4,-6.2,-7.9,296.0
Cazador Dips,0.12,0.03,21,122,17.2,-0.65,-322.2,-96.1,-402.8,495.0
Cazador Dips,0.12,0.04,21,108,20.4,-0.97,-425.8,-98.6,-532.3,438.0
Cazador Dips,0.12,0.05,21,97,19.6,-1.9,-749.0,-99.9,-936.2,393.0
Cazador Dips,0.12,0.06,21,87,28.7,-1.06,-375.0,-97.7,-468.7,353.0
Cazador Dips,0.12,0.08,21,76,31.6,-1.92,-592.2,-99.7,-740.3,308.0
Cazador Dips,0.12,0.1,21,65,41.5,-1.01,-266.2,-93.1,-332.7,264.0
Cazador Dips,0.15,0.03,21,120,15.8,-0.38,-187.1,-84.7,-233.9,487.0
Cazador Dips,0.15,0.04,21,105,18.1,-0.8,-339.2,-96.7,-424.0,426.0
Cazador Dips,0.15,0.05,21,96,18.8,-1.48,-577.9,-99.7,-722.4,389.0
Cazador Dips,0.15,0.06,21,85,24.7,-1.05,-361.7,-97.4,-452.2,345.0
Cazador Dips,0.15,0.08,21,74,25.7,-2.33,-700.7,-99.9,-875.9,300.0
Cazador Dips,0.15,0.1,21,61,34.4,-1.54,-382.2,-97.9,-477.7,247.0
Cazador Dips,0.2,0.03,21,112,10.7,-0.77,-350.0,-97.0,-437.4,454.0
Cazador Dips,0.2,0.04,21,98,12.2,-1.3,-515.4,-99.4,-644.3,397.0
Cazador Dips,0.2,0.05,21,89,13.5,-1.86,-673.0,-99.9,-841.3,361.0
Cazador Dips,0.2,0.06,21,77,18.2,-1.51,-471.7,-99.1,-589.6,312.0
Cazador Dips,0.2,0.08,21,68,19.1,-2.89,-796.5,-100.0,-995.7,276.0
Cazador Dips,0.2,0.1,21,55,25.5,-2.51,-559.1,-99.7,-698.9,223.0
Cazador Dips,0.05,0.03,30,158,34.2,-0.5,-323.4,-96.1,-404.3,641.0
Cazador Dips,0.05,0.04,30,143,37.8,-0.84,-486.4,-99.2,-608.0,580.0
Cazador Dips,0.05,0.05,30,126,38.9,-1.35,-690.1,-99.9,-862.7,511.0
Cazador Dips,0.05,0.06,30,115,45.2,-1.26,-589.8,-99.7,-737.2,466.0
Cazador Dips,0.05,0.08,30,104,52.9,-1.37,-578.0,-99.7,-722.5,422.0
Cazador Dips,0.05,0.1,30,95,56.8,-1.72,-663.3,-99.9,-829.2,385.0
Cazador Dips,0.08,0.03,30,152,23.0,-0.71,-434.8,-98.7,-543.6,616.0
Cazador Dips,0.08,0.04,30,138,28.3,-0.85,-473.3,-99.1,-591.7,560.0
Cazador Dips,0.08,0.05,30,118,25.4,-1.93,-924.9,-100.0,-1156.1,479.0
Cazador Dips,0.08,0.06,30,110,32.7,-1.65,-738.2,-99.9,-922.7,446.0
Cazador Dips,0.08,0.08,30,98,39.8,-1.88,-745.4,-99.9,-931.7,397.0
Cazador Dips,0.08,0.1,30,88,47.7,-1.65,-590.3,-99.7,-737.9,357.0
Cazador Dips,0.1,0.03,30,147,19.7,-0.67,-400.4,-98.2,-500.5,596.0
Cazador Dips,0.1,0.04,30,132,23.5,-0.95,-506.6,-99.4,-633.2,535.0
Cazador Dips,0.1,0.05,30,114,21.9,-1.95,-899.7,-100.0,-1124.7,462.0
Cazador Dips,0.1,0.06,30,106,28.3,-1.71,-733.3,-99.9,-916.7,430.0
Cazador Dips,0.1,0.08,30,91,35.2,-1.91,-704.4,-99.9,-880.5,369.0
Cazador Dips,0.1,0.1,30,81,43.2,-1.6,-525.0,-99.5,-656.3,328.0
Cazador Dips,0.12,0.03,30,143,16.1,-0.82,-477.2,-99.2,-596.6,580.0
Cazador Dips,0.12,0.04,30,127,19.7,-1.08,-557.9,-99.6,-697.4,515.0
Cazador Dips,0.12,0.05,30,112,19.6,-1.9,-860.8,-100.0,-1076.0,454.0
Cazador Dips,0.12,0.06,30,104,24.0,-1.91,-803.9,-100.0,-1004.9,422.0
Cazador Dips,0.12,0.08,30,86,27.9,-2.66,-927.0,-100.0,-1158.8,349.0
Cazador Dips,0.12,0.1,30,74,35.1,-2.51,-753.3,-100.0,-941.6,300.0
Cazador Dips,0.15,0.03,30,142,14.8,-0.57,-330.5,-96.4,-413.1,576.0
Cazador Dips,0.15,0.04,30,125,16.8,-1.04,-528.6,-99.5,-660.7,507.0
Cazador Dips,0.15,0.05,30,110,17.3,-1.78,-795.0,-100.0,-993.7,446.0
Cazador Dips,0.15,0.06,30,101,19.8,-2.08,-851.3,-100.0,-1064.1,410.0
Cazador Dips,0.15,0.08,30,83,22.9,-2.98,-1002.5,-100.0,-1253.1,337.0
Cazador Dips,0.15,0.1,30,69,29.0,-3.0,-840.5,-100.0,-1050.6,280.0
Cazador Dips,0.2,0.03,30,133,9.0,-1.16,-625.6,-99.8,-782.0,539.0
Cazador Dips,0.2,0.04,30,117,10.3,-1.77,-841.1,-100.0,-1051.4,474.0
Cazador Dips,0.2,0.05,30,102,10.8,-2.54,-1050.7,-100.0,-1313.4,414.0
Cazador Dips,0.2,0.06,30,93,12.9,-2.88,-1086.7,-100.0,-1358.4,377.0
Cazador Dips,0.2,0.08,30,76,17.1,-3.45,-1063.8,-100.0,-1329.7,308.0
Cazador Dips,0.2,0.1,30,65,20.0,-4.25,-1120.4,-100.0,-1400.5,264.0
Cazador Dips,0.05,0.03,45,182,33.5,-0.55,-404.1,-98.3,-505.1,738.0
Cazador Dips,0.05,0.04,45,162,37.7,-0.84,-552.2,-99.6,-690.3,657.0
Cazador Dips,0.05,0.05,45,144,40.3,-1.2,-703.0,-99.9,-878.8,584.0
Cazador Dips,0.05,0.06,45,136,45.6,-1.22,-671.2,-99.9,-838.9,552.0
Cazador Dips,0.05,0.08,45,116,55.2,-1.07,-502.7,-99.4,-628.4,470.0
Cazador Dips,0.05,0.1,45,104,57.7,-1.59,-671.7,-99.9,-839.7,422.0
Cazador Dips,0.08,0.03,45,175,24.6,-0.53,-373.3,-97.6,-466.6,710.0
Cazador Dips,0.08,0.04,45,157,29.3,-0.71,-454.9,-99.0,-568.6,637.0
Cazador Dips,0.08,0.05,45,137,31.4,-1.15,-639.0,-99.8,-798.7,556.0
Cazador Dips,0.08,0.06,45,126,36.5,-1.12,-572.0,-99.7,-715.0,511.0
Cazador Dips,0.08,0.08,45,108,44.4,-1.13,-493.9,-99.3,-617.3,438.0
Cazador Dips,0.08,0.1,45,97,51.5,-0.97,-381.1,-97.8,-476.4,393.0
Cazador Dips,0.1,0.03,45,169,22.5,-0.31,-209.1,-87.7,-261.4,685.0
Cazador Dips,0.1,0.04,45,150,25.3,-0.68,-415.2,-98.4,-519.0,608.0
Cazador Dips,0.1,0.05,45,127,27.6,-1.1,-565.5,-99.7,-706.9,515.0
Cazador Dips,0.1,0.06,45,117,32.5,-1.03,-490.7,-99.3,-613.3,474.0
Cazador Dips,0.1,0.08,45,99,40.4,-0.96,-387.1,-98.0,-483.9,402.0
Cazador Dips,0.1,0.1,45,88,46.6,-0.92,-329.3,-96.3,-411.6,357.0
Cazador Dips,0.12,0.03,45,163,18.4,-0.47,-308.7,-95.5,-385.9,661.0
Cazador Dips,0.12,0.04,45,144,21.5,-0.78,-457.0,-99.0,-571.3,584.0
Cazador Dips,0.12,0.05,45,123,24.4,-1.08,-541.0,-99.6,-676.3,499.0
Cazador Dips,0.12,0.06,45,111,27.9,-1.2,-540.8,-99.6,-676.0,450.0
Cazador Dips,0.12,0.08,45,91,31.9,-1.87,-688.8,-99.9,-861.0,369.0
Cazador Dips,0.12,0.1,45,82,37.8,-1.93,-640.4,-99.8,-800.5,333.0
Cazador Dips,0.15,0.03,45,160,16.2,-0.3,-196.2,-86.0,-245.2,649.0
Cazador Dips,0.15,0.04,45,141,17.7,-0.86,-491.5,-99.3,-614.4,572.0
Cazador Dips,0.15,0.05,45,119,21.8,-0.86,-415.5,-98.5,-519.4,483.0
Cazador Dips,0.15,0.06,45,104,23.1,-1.38,-583.2,-99.7,-729.0,422.0
Cazador Dips,0.15,0.08,45,88,27.3,-1.97,-702.4,-99.9,-878.0,357.0
Cazador Dips,0.15,0.1,45,78,33.3,-1.91,-605.0,-99.8,-756.2,316.0
Cazador Dips,0.2,0.03,45,151,11.3,-0.64,-390.9,-98.0,-488.6,612.0
Cazador Dips,0.2,0.04,45,133,12.0,-1.34,-723.9,-99.9,-904.9,539.0
Cazador Dips,0.2,0.05,45,110,15.5,-1.37,-610.2,-99.8,-762.8,446.0
Cazador Dips,0.2,0.06,45,95,15.8,-2.12,-818.5,-100.0,-1023.1,385.0
Cazador Dips,0.2,0.08,45,79,20.3,-2.57,-823.7,-100.0,-1029.6,320.0
Cazador Dips,0.2,0.1,45,72,26.4,-2.33,-680.7,-99.9,-850.8,292.0
Recup. Rapida,0.05,0.03,5,4,25.0,-1.16,-18.8,-17.2,-23.5,16.0
Recup. Rapida,0.05,0.04,5,4,25.0,-1.91,-31.0,-26.9,-38.7,16.0
Recup. Rapida,0.05,0.05,5,4,25.0,-2.66,-43.1,-35.4,-53.9,16.0
Recup. Rapida,0.05,0.06,5,4,25.0,-3.41,-55.3,-43.0,-69.1,16.0
Recup. Rapida,0.05,0.08,5,3,33.3,-3.86,-47.0,-38.1,-58.7,12.0
Recup. Rapida,0.05,0.1,5,3,33.3,-5.19,-63.2,-47.7,-79.0,12.0
Recup. Rapida,0.08,0.03,5,4,25.0,-0.41,-6.6,-6.4,-8.3,16.0
Recup. Rapida,0.08,0.04,5,4,25.0,-1.16,-18.8,-17.2,-23.5,16.0
Recup. Rapida,0.08,0.05,5,4,25.0,-1.91,-31.0,-26.9,-38.7,16.0
Recup. Rapida,0.08,0.06,5,4,25.0,-2.66,-43.1,-35.4,-53.9,16.0
Recup. Rapida,0.08,0.08,5,3,33.3,-2.86,-34.8,-29.7,-43.5,12.0
Recup. Rapida,0.08,0.1,5,3,33.3,-4.19,-51.0,-40.6,-63.8,12.0
Recup. Rapida,0.1,0.03,5,4,25.0,0.09,1.5,1.5,1.8,16.0
Recup. Rapida,0.1,0.04,5,4,25.0,-0.66,-10.7,-10.2,-13.4,16.0
Recup. Rapida,0.1,0.05,5,4,25.0,-1.41,-22.9,-20.6,-28.6,16.0
Recup. Rapida,0.1,0.06,5,4,25.0,-2.16,-35.0,-29.8,-43.8,16.0
Recup. Rapida,0.1,0.08,5,3,33.3,-2.19,-26.7,-23.6,-33.4,12.0
Recup. Rapida,0.1,0.1,5,3,33.3,-3.53,-42.9,-35.4,-53.6,12.0
Recup. Rapida,0.12,0.03,5,4,25.0,0.59,9.6,10.0,12.0,16.0
Recup. Rapida,0.12,0.04,5,4,25.0,-0.16,-2.6,-2.5,-3.2,16.0
Recup. Rapida,0.12,0.05,5,4,25.0,-0.91,-14.7,-13.8,-18.4,16.0
Recup. Rapida,0.12,0.06,5,4,25.0,-1.66,-26.9,-23.8,-33.6,16.0
Recup. Rapida,0.12,0.08,5,3,33.3,-1.53,-18.6,-17.1,-23.2,12.0
Recup. Rapida,0.12,0.1,5,3,33.3,-2.86,-34.8,-29.7,-43.5,12.0
Recup. Rapida,0.15,0.03,5,4,25.0,1.34,21.8,24.1,27.2,16.0
Recup. Rapida,0.15,0.04,5,4,25.0,0.59,9.6,10.0,12.0,16.0
Recup. Rapida,0.15,0.05,5,4,25.0,-0.16,-2.6,-2.5,-3.2,16.0
Recup. Rapida,0.15,0.06,5,4,25.0,-0.91,-14.7,-13.8,-18.4,16.0
Recup. Rapida,0.15,0.08,5,3,33.3,-0.53,-6.4,-6.2,-8.0,12.0
Recup. Rapida,0.15,0.1,5,3,33.3,-1.86,-22.6,-20.4,-28.3,12.0
Recup. Rapida,0.2,0.03,5,4,25.0,2.59,42.0,51.4,52.5,16.0
Recup. Rapida,0.2,0.04,5,4,25.0,1.84,29.9,34.4,37.3,16.0
Recup. Rapida,0.2,0.05,5,4,25.0,1.09,17.7,19.2,22.1,16.0
Recup. Rapida,0.2,0.06,5,4,25.0,0.34,5.5,5.7,6.9,16.0
Recup. Rapida,0.2,0.08,5,3,33.3,1.14,13.9,14.8,17.3,12.0
Recup. Rapida,0.2,0.1,5,3,33.3,-0.19,-2.3,-2.3,-2.9,12.0
Recup. Rapida,0.05,0.03,7,7,28.6,-0.86,-24.4,-21.7,-30.5,28.0
Recup. Rapida,0.05,0.04,7,7,28.6,-1.57,-44.7,-36.2,-55.8,28.0
Recup. Rapida,0.05,0.05,7,7,28.6,-2.29,-64.9,-48.2,-81.2,28.0
Recup. Rapida,0.05,0.06,7,7,28.6,-3.0,-85.2,-57.9,-106.5,28.0
Recup. Rapida,0.05,0.08,7,7,28.6,-4.43,-125.8,-72.4,-157.2,28.0
Recup. Rapida,0.05,0.1,7,7,28.6,-5.86,-166.3,-82.0,-207.9,28.0
Recup. Rapida,0.08,0.03,7,7,28.6,-0.0,-0.0,-0.0,-0.1,28.0
Recup. Rapida,0.08,0.04,7,7,28.6,-0.72,-20.3,-18.5,-25.4,28.0
Recup. Rapida,0.08,0.05,7,7,28.6,-1.43,-40.6,-33.6,-50.8,28.0
Recup. Rapida,0.08,0.06,7,7,28.6,-2.14,-60.9,-46.0,-76.1,28.0
Recup. Rapida,0.08,0.08,7,7,28.6,-3.57,-101.4,-64.4,-126.8,28.0
Recup. Rapida,0.08,0.1,7,7,28.6,-5.0,-142.0,-76.7,-177.5,28.0
Recup. Rapida,0.1,0.03,7,7,28.6,0.57,16.2,17.5,20.2,28.0
Recup. Rapida,0.1,0.04,7,7,28.6,-0.14,-4.1,-4.0,-5.1,28.0
Recup. Rapida,0.1,0.05,7,7,28.6,-0.86,-24.4,-21.7,-30.5,28.0
Recup. Rapida,0.1,0.06,7,7,28.6,-1.57,-44.7,-36.2,-55.8,28.0
Recup. Rapida,0.1,0.08,7,7,28.6,-3.0,-85.2,-57.9,-106.5,28.0
Recup. Rapida,0.1,0.1,7,7,28.6,-4.43,-125.8,-72.4,-157.2,28.0
Recup. Rapida,0.12,0.03,7,7,28.6,1.14,32.4,38.0,40.5,28.0
Recup. Rapida,0.12,0.04,7,7,28.6,0.43,12.1,12.9,15.1,28.0
Recup. Rapida,0.12,0.05,7,7,28.6,-0.29,-8.2,-7.8,-10.2,28.0
Recup. Rapida,0.12,0.06,7,7,28.6,-1.0,-28.4,-24.9,-35.5,28.0
Recup. Rapida,0.12,0.08,7,7,28.6,-2.43,-69.0,-50.3,-86.2,28.0
Recup. Rapida,0.12,0.1,7,7,28.6,-3.86,-109.5,-67.3,-136.9,28.0
Recup. Rapida,0.15,0.03,7,7,28.6,2.0,56.7,75.4,70.9,28.0
Recup. Rapida,0.15,0.04,7,7,28.6,1.28,36.5,43.6,45.6,28.0
Recup. Rapida,0.15,0.05,7,7,28.6,0.57,16.2,17.5,20.2,28.0
Recup. Rapida,0.15,0.06,7,7,28.6,-0.14,-4.1,-4.0,-5.1,28.0
Recup. Rapida,0.15,0.08,7,7,28.6,-1.57,-44.7,-36.2,-55.8,28.0
Recup. Rapida,0.15,0.1,7,7,28.6,-3.0,-85.2,-57.9,-106.5,28.0
Recup. Rapida,0.2,0.03,7,7,14.3,0.52,14.7,15.8,18.4,28.0
Recup. Rapida,0.2,0.04,7,7,14.3,-0.2,-5.6,-5.4,-7.0,28.0
Recup. Rapida,0.2,0.05,7,7,14.3,-0.91,-25.9,-22.9,-32.3,28.0
Recup. Rapida,0.2,0.06,7,7,14.3,-1.62,-46.1,-37.2,-57.7,28.0
Recup. Rapida,0.2,0.08,7,7,14.3,-3.05,-86.7,-58.5,-108.4,28.0
Recup. Rapida,0.2,0.1,7,7,14.3,-4.48,-127.2,-72.8,-159.1,28.0
Recup. Rapida,0.05,0.03,11,18,11.1,-2.24,-163.7,-80.9,-204.6,73.0
Recup. Rapida,0.05,0.04,11,18,11.1,-3.13,-228.6,-90.2,-285.7,73.0
Recup. Rapida,0.05,0.05,11,18,16.7,-3.46,-252.9,-92.4,-316.1,73.0
Recup. Rapida,0.05,0.06,11,18,16.7,-4.3,-313.7,-96.0,-392.2,73.0
Recup. Rapida,0.05,0.08,11,17,17.6,-5.84,-402.7,-98.4,-503.4,69.0
Recup. Rapida,0.05,0.1,11,17,17.6,-7.49,-516.3,-99.5,-645.4,69.0
Recup. Rapida,0.08,0.03,11,18,11.1,-1.91,-139.4,-75.5,-174.2,73.0
Recup. Rapida,0.08,0.04,11,18,11.1,-2.8,-204.2,-87.4,-255.3,73.0
Recup. Rapida,0.08,0.05,11,18,16.7,-2.96,-216.4,-88.9,-270.5,73.0
Recup. Rapida,0.08,0.06,11,18,16.7,-3.8,-277.2,-94.1,-346.6,73.0
Recup. Rapida,0.08,0.08,11,17,17.6,-5.31,-366.2,-97.7,-457.8,69.0
Recup. Rapida,0.08,0.1,11,17,17.6,-6.96,-479.8,-99.3,-599.7,69.0
Recup. Rapida,0.1,0.03,11,18,11.1,-1.69,-123.1,-71.1,-153.9,73.0
Recup. Rapida,0.1,0.04,11,18,11.1,-2.58,-188.0,-85.1,-235.0,73.0
